Image Name,crater_lat,crater_long
M1233799944LC_pyr.tif,-1.581512,69.04629
M1233799944RC_pyr.tif,-1.581254,69.229342
M1233799944RC_pyr.tif,-1.581125,69.225684
M1233799944LC_pyr.tif,-1.581113,69.07793
M1233799944RC_pyr.tif,-1.580932,69.243783
M1233799944LC_pyr.tif,-1.580914,69.050461
M1233799944LC_pyr.tif,-1.580848,69.062014
M1233799944LC_pyr.tif,-1.580582,69.074914
M1233799944LC_pyr.tif,-1.580449,69.065544
M1233799944LC_pyr.tif,-1.580383,69.079535
M1233799944LC_pyr.tif,-1.580184,69.093141
M1233799944LC_pyr.tif,-1.579984,69.072411
M1233799944LC_pyr.tif,-1.579984,69.047958
M1233799944LC_pyr.tif,-1.579918,69.088969
M1233799944LC_pyr.tif,-1.579918,69.086209
M1233799944RC_pyr.tif,-1.5799,69.195584
M1233799944LC_pyr.tif,-1.579852,69.047702
M1233799944LC_pyr.tif,-1.579785,69.09911
M1233799944LC_pyr.tif,-1.579785,69.056943
M1233799944RC_pyr.tif,-1.579707,69.211629
M1233799944RC_pyr.tif,-1.579578,69.242627
M1233799944RC_pyr.tif,-1.579449,69.242499
M1233799944RC_pyr.tif,-1.579449,69.232423
M1233799944LC_pyr.tif,-1.579254,69.083706
M1233799944LC_pyr.tif,-1.579254,69.096799
M1233799944LC_pyr.tif,-1.579188,69.067982
M1233799944RC_pyr.tif,-1.578998,69.225491
M1233799944LC_pyr.tif,-1.578988,69.076839
M1233799944RC_pyr.tif,-1.578934,69.239162
M1233799944LC_pyr.tif,-1.578922,69.061243
M1233799944RC_pyr.tif,-1.578805,69.232359
M1233799944RC_pyr.tif,-1.57874,69.226582
M1233799944LC_pyr.tif,-1.578457,69.058227
M1233799944LC_pyr.tif,-1.578391,69.048664
M1233799944RC_pyr.tif,-1.578096,69.191155
M1233799944RC_pyr.tif,-1.577967,69.242692
M1233799944LC_pyr.tif,-1.577926,69.045519
M1233799944LC_pyr.tif,-1.577859,69.076197
M1233799944LC_pyr.tif,-1.57766,69.07132
M1233799944RC_pyr.tif,-1.57758,69.196097
M1233799944LC_pyr.tif,-1.577461,69.046739
M1233799944LC_pyr.tif,-1.577395,69.065415
M1233799944RC_pyr.tif,-1.577387,69.245772
M1233799944RC_pyr.tif,-1.577258,69.214773
M1233799944LC_pyr.tif,-1.577195,69.056558
M1233799944RC_pyr.tif,-1.577129,69.201231
M1233799944LC_pyr.tif,-1.576996,69.071576
M1233799944RC_pyr.tif,-1.576871,69.232102
M1233799944LC_pyr.tif,-1.576863,69.063297
M1233799944LC_pyr.tif,-1.576797,69.075812
M1233799944RC_pyr.tif,-1.576742,69.237686
M1233799944LC_pyr.tif,-1.57673,69.074465
M1233799944LC_pyr.tif,-1.576266,69.051873
M1233799944RC_pyr.tif,-1.576227,69.194557
M1233799944LC_pyr.tif,-1.576199,69.077609
M1233799944LC_pyr.tif,-1.576133,69.088905
M1233799944LC_pyr.tif,-1.576133,69.04353
